Day,Month,Year,Time,BME280_2_1_T,BME280_2_1_RH,BME280_2_1_P,BME280_8_2_T,BME280_8_2_RH,BME280_8_2_P,SHT31_5_1_T,SHT31_5_1_RH,SHT31_7_2_T,SHT31_7_2_RH,MLX90614_3_1_amb_T,MLX90614_3_1_obj_T
7,Nov,2024,17:20:39,44.03, 91.35, 778.22, 43.7, 92.14, 778.02, 44.15, 95.85, 44.14, 94.24, 43.77, 43.13
7,Nov,2024,17:20:49,43.95, 91.29, 778.17, 43.63, 92.15, 777.99, 44.06, 95.84, 44.07, 94.25, 43.69, 43.09
7,Nov,2024,17:20:59,43.9, 91.21, 778.19, 43.58, 92.49, 778.0, 44.05, 95.85, 44.0, 94.27, 43.69, 43.09
7,Nov,2024,17:21:09,43.88, 91.38, 778.2, 43.54, 92.22, 777.99, 43.99, 95.86, 44.02, 94.27, 43.63, 43.07
7,Nov,2024,17:21:19,43.83, 91.42, 778.2, 43.49, 92.14, 777.99, 43.96, 95.9, 43.93, 94.25, 43.63, 43.01
7,Nov,2024,17:21:29,43.78, 91.45, 778.22, 43.45, 92.21, 778.0, 43.91, 95.88, 43.9, 94.26, 43.55, 42.93
7,Nov,2024,17:21:39,43.73, 91.49, 778.22, 43.39, 92.21, 778.01, 43.85, 95.92, 43.85, 94.29, 43.49, 42.89
7,Nov,2024,17:21:49,43.69, 91.49, 778.2, 43.35, 92.23, 777.98, 43.81, 95.92, 43.82, 94.25, 43.47, 42.91
7,Nov,2024,17:21:59,43.65, 91.55, 778.25, 43.31, 92.51, 777.99, 43.75, 95.94, 43.78, 94.3, 43.41, 42.81
7,Nov,2024,17:22:09,43.6, 91.51, 778.22, 43.26, 92.27, 778.0, 43.74, 95.93, 43.72, 94.28, 43.39, 42.73
7,Nov,2024,17:22:19,43.55, 91.54, 778.23, 43.23, 92.47, 777.97, 43.68, 95.93, 43.68, 94.29, 43.33, 42.79
7,Nov,2024,17:22:29,43.51, 91.57, 778.21, 43.18, 92.63, 778.0, 43.65, 95.99, 43.63, 94.28, 43.27, 42.71
7,Nov,2024,17:22:39,43.48, 91.58, 778.21, 43.13, 92.33, 777.96, 43.58, 95.94, 43.61, 94.34, 43.23, 42.69
7,Nov,2024,17:22:49,43.43, 91.61, 778.22, 43.1, 92.3, 777.97, 43.57, 95.93, 43.55, 94.31, 43.21, 42.59
7,Nov,2024,17:22:59,43.39, 91.64, 778.22, 43.05, 92.33, 777.96, 43.5, 96.0, 43.49, 94.27, 43.15, 42.61
7,Nov,2024,17:23:09,43.34, 91.62, 778.22, 43.02, 92.37, 777.97, 43.5, 95.98, 43.45, 94.26, 43.13, 42.59
7,Nov,2024,17:23:19,43.3, 91.65, 778.19, 42.97, 92.44, 777.99, 43.44, 96.01, 43.41, 94.3, 43.05, 42.51
7,Nov,2024,17:23:29,43.26, 91.68, 778.2, 42.92, 92.44, 778.0, 43.37, 95.99, 43.35, 94.29, 43.05, 42.41
7,Nov,2024,17:23:39,43.21, 91.67, 778.2, 42.88, 92.43, 777.98, 43.35, 96.01, 43.34, 94.33, 43.01, 42.41
7,Nov,2024,17:23:49,43.18, 91.7, 778.23, 42.84, 92.56, 777.96, 43.3, 96.01, 43.31, 94.32, 42.97, 42.35
7,Nov,2024,17:23:59,43.13, 91.73, 778.19, 42.8, 92.46, 777.98, 43.26, 96.05, 43.24, 94.35, 42.91, 42.31
7,Nov,2024,17:24:09,43.09, 91.75, 778.18, 42.76, 92.5, 777.98, 43.2, 96.05, 43.21, 94.38, 42.89, 42.33
7,Nov,2024,17:24:19,43.05, 91.78, 778.19, 42.72, 92.56, 777.99, 43.16, 96.07, 43.14, 94.32, 42.83, 42.23
7,Nov,2024,17:24:29,43.0, 91.79, 778.22, 42.67, 92.55, 777.98, 43.13, 96.07, 43.1, 94.37, 42.79, 42.21
7,Nov,2024,17:24:39,42.96, 91.74, 778.18, 42.62, 92.55, 777.96, 43.09, 96.11, 43.07, 94.37, 42.73, 42.19
7,Nov,2024,17:24:49,42.91, 91.66, 778.19, 42.58, 92.7, 777.96, 43.05, 96.1, 43.0, 94.4, 42.69, 42.19
7,Nov,2024,17:24:59,42.88, 91.81, 778.2, 42.54, 92.7, 777.97, 42.99, 96.15, 42.98, 94.38, 42.67, 42.11
7,Nov,2024,17:25:09,42.84, 91.87, 778.18, 42.51, 92.61, 778.0, 42.96, 96.09, 42.94, 94.4, 42.65, 42.09
7,Nov,2024,17:25:19,42.79, 91.91, 778.18, 42.46, 92.65, 777.99, 42.9, 96.12, 42.92, 94.32, 42.57, 42.09
7,Nov,2024,17:25:29,42.75, 91.91, 778.21, 42.43, 92.69, 778.02, 42.85, 96.14, 42.87, 94.38, 42.57, 41.97
7,Nov,2024,17:25:39,42.71, 91.93, 778.17, 42.4, 92.7, 778.01, 42.82, 96.15, 42.83, 94.42, 42.51, 41.95
7,Nov,2024,17:25:49,42.67, 91.94, 778.19, 42.34, 92.77, 778.0, 42.81, 96.15, 42.79, 94.38, 42.47, 41.93
7,Nov,2024,17:25:59,42.62, 91.99, 778.19, 42.31, 92.73, 778.01, 42.74, 96.18, 42.73, 94.37, 42.43, 41.87
7,Nov,2024,17:26:09,42.58, 91.98, 778.18, 42.26, 92.79, 777.99, 42.71, 96.19, 42.7, 94.45, 42.37, 41.85
7,Nov,2024,17:26:19,42.54, 91.99, 778.14, 42.22, 92.79, 778.02, 42.67, 96.19, 42.66, 94.42, 42.33, 41.81
7,Nov,2024,17:26:29,42.5, 92.16, 778.18, 42.18, 92.71, 778.03, 42.62, 96.18, 42.63, 94.42, 42.31, 41.81
7,Nov,2024,17:26:39,42.47, 92.15, 778.19, 42.13, 92.83, 778.01, 42.58, 96.21, 42.58, 94.4, 42.29, 41.75
7,Nov,2024,17:26:49,42.43, 92.02, 778.18, 42.1, 93.06, 777.99, 42.55, 96.23, 42.53, 94.46, 42.21, 41.67
7,Nov,2024,17:26:59,42.39, 92.08, 778.16, 42.06, 92.88, 777.98, 42.51, 96.19, 42.49, 94.45, 42.21, 41.59
7,Nov,2024,17:27:09,42.33, 92.1, 778.18, 42.02, 92.84, 778.0, 42.46, 96.19, 42.48, 94.39, 42.13, 41.65
7,Nov,2024,17:27:19,42.3, 92.13, 778.19, 41.97, 92.9, 778.01, 42.41, 96.21, 42.43, 94.43, 42.11, 41.55
7,Nov,2024,17:27:29,42.26, 92.11, 778.16, 41.94, 93.09, 778.0, 42.41, 96.22, 42.38, 94.44, 42.07, 41.55
7,Nov,2024,17:27:39,42.23, 92.1, 778.17, 41.9, 93.0, 777.96, 42.33, 96.21, 42.35, 94.47, 42.05, 41.49
7,Nov,2024,17:27:49,42.19, 92.15, 778.16, 41.86, 93.0, 777.98, 42.31, 96.24, 42.32, 94.49, 41.99, 41.47
7,Nov,2024,17:27:59,42.15, 92.16, 778.21, 41.83, 93.07, 777.98, 42.26, 96.26, 42.27, 94.49, 41.97, 41.45
7,Nov,2024,17:28:09,42.11, 92.2, 778.2, 41.79, 93.04, 778.0, 42.24, 96.25, 42.24, 94.44, 41.89, 41.39
