Day,Month,Year,Time,BME280_1_1_T,BME280_1_1_RH,BME280_1_1_P,BME280_2_1_T,BME280_2_1_RH,BME280_2_1_P,BME280_8_1_T,BME280_8_1_RH,BME280_8_1_P,SHT31_3_1_T,SHT31_3_1_RH,SHT31_6_1_T,SHT31_6_1_RH,SHT31_7_1_T,SHT31_7_1_RH,MLX90614_5_1_amb_T,MLX90614_5_1_obj_T
20,Oct,2024,23:26:33,18.35, 61.62, 782.57, 18.53, 62.94, 783.23, 18.32, 62.12, 783.38, 18.6, 73.38, 18.6, 73.41, 18.69, 72.71, 18.64, 18.29
20,Oct,2024,23:31:33,17.84, 63.42, 782.56, 18.03, 64.68, 783.22, 17.8, 63.89, 783.38, 18.22, 74.53, 18.21, 74.53, 18.25, 74.04, 18.23, 18.11
20,Oct,2024,23:36:33,17.63, 64.14, 782.47, 17.83, 65.5, 783.13, 17.59, 64.74, 783.3, 18.09, 74.97, 18.05, 75.01, 18.09, 74.59, 18.07, 18.0
20,Oct,2024,23:41:33,17.55, 64.55, 782.39, 17.74, 65.85, 783.04, 17.49, 65.17, 783.21, 18.04, 75.19, 18.0, 75.23, 18.02, 74.85, 18.01, 17.97
20,Oct,2024,23:46:33,17.45, 64.88, 782.32, 17.64, 66.26, 782.96, 17.39, 65.59, 783.14, 17.92, 75.55, 17.89, 75.55, 17.92, 75.18, 17.91, 17.87
20,Oct,2024,23:51:33,17.39, 65.18, 782.27, 17.58, 66.59, 782.91, 17.31, 65.87, 783.08, 17.87, 75.78, 17.83, 75.78, 17.86, 75.42, 17.84, 17.83
20,Oct,2024,23:56:33,17.35, 65.43, 782.31, 17.54, 66.79, 782.97, 17.27, 66.09, 783.15, 17.83, 75.91, 17.79, 75.91, 17.82, 75.58, 17.8, 17.8
21,Oct,2024,00:01:33,17.3, 65.6, 782.3, 17.5, 66.98, 782.96, 17.22, 66.32, 783.13, 17.78, 76.1, 17.75, 76.09, 17.77, 75.77, 17.77, 17.75
21,Oct,2024,00:06:33,17.26, 65.7, 782.26, 17.45, 67.13, 782.91, 17.18, 66.45, 783.07, 17.74, 76.23, 17.7, 76.2, 17.73, 75.89, 17.73, 17.71
21,Oct,2024,00:11:33,17.26, 65.81, 782.25, 17.45, 67.21, 782.9, 17.17, 66.59, 783.07, 17.74, 76.27, 17.71, 76.25, 17.73, 75.95, 17.74, 17.7
