Day,Month,Year,Time,BME280_2_1_T,BME280_2_1_RH,BME280_2_1_P,BME280_8_2_T,BME280_8_2_RH,BME280_8_2_P,SHT31_5_1_T,SHT31_5_1_RH,SHT31_7_2_T,SHT31_7_2_RH,MLX90614_3_1_amb_T,MLX90614_3_1_obj_T
7,Nov,2024,16:32:26,30.82,56.14,778.12,30.7,54.5,777.74,30.98,65.54,31.13,65.21,31.68,31.76
7,Nov,2024,16:32:36,30.88,57.15,778.11,30.75,55.4,777.74,31.08,66.31,31.21,66.02,31.73,31.77
7,Nov,2024,16:32:46,30.94,57.62,778.09,30.81,55.95,777.75,31.12,66.78,31.24,66.55,31.77,31.89
7,Nov,2024,16:32:56,30.98,58.26,778.13,30.85,56.37,777.76,31.19,67.2,31.29,66.95,31.77,31.77
7,Nov,2024,16:33:06,31.02,58.6,778.09,30.89,56.87,777.75,31.22,67.63,31.33,67.3,31.83,31.89
7,Nov,2024,16:33:16,31.05,59.01,778.11,30.93,57.35,777.72,31.28,67.99,31.36,67.65,31.85,31.89
7,Nov,2024,16:33:26,31.09,59.38,778.14,30.95,57.81,777.75,31.28,68.28,31.39,67.99,31.89,31.89
7,Nov,2024,16:33:36,31.14,59.73,778.15,30.97,57.99,777.76,31.33,68.63,31.4,68.31,31.87,31.89
7,Nov,2024,16:33:46,31.17,60.97,778.12,31,59.29,777.7,31.37,69.73,31.43,69.41,31.83,32.49
7,Nov,2024,16:33:56,31.27,62.36,778.09,31.1,61.26,777.71,31.44,71.92,31.54,71.51,31.87,32.77
7,Nov,2024,16:34:06,31.39,65.02,778.11,31.23,63.92,777.7,31.6,74.62,31.67,74.01,31.89,33.11
7,Nov,2024,16:34:16,31.53,66.89,778.13,31.36,66.34,777.72,31.74,77.27,31.84,76.56,31.97,33.19
7,Nov,2024,16:34:26,31.68,69.03,778.11,31.51,68.52,777.71,31.88,79.78,31.98,78.95,32.07,33.43
7,Nov,2024,16:34:36,31.86,71.25,778.13,31.67,70.92,777.74,32.04,82.29,32.19,81.27,32.13,33.47
7,Nov,2024,16:34:46,32.02,73.18,778.13,31.84,72.74,777.71,32.22,84.34,32.32,83.32,32.27,33.57
7,Nov,2024,16:34:56,32.21,74.92,778.11,32.02,74.47,777.77,32.4,86.26,32.52,85.16,32.39,33.61
7,Nov,2024,16:35:06,32.38,76.35,778.07,32.18,75.9,777.71,32.55,87.85,32.67,86.7,32.53,33.63
7,Nov,2024,16:35:16,32.54,77.75,778.13,32.34,76.91,777.79,32.73,88.67,32.83,87.58,32.65,33.87
7,Nov,2024,16:35:26,32.73,78.97,778.13,32.52,78.04,777.71,32.91,89.82,33,88.62,32.77,34.07
7,Nov,2024,16:35:36,32.92,79.81,778.15,32.73,79.12,777.72,33.11,90.74,33.2,89.52,32.93,34.29
7,Nov,2024,16:35:46,33.11,80.97,778.15,32.9,80.03,777.72,33.31,91.39,33.4,90.08,33.13,34.47
7,Nov,2024,16:35:56,33.34,81.61,778.18,33.14,80.76,777.77,33.55,91.93,33.64,90.59,33.25,34.63
7,Nov,2024,16:36:06,33.55,82.75,778.14,33.35,81.7,777.76,33.75,92.23,33.85,90.84,33.43,34.83
7,Nov,2024,16:36:16,33.79,82.93,778.16,33.57,82.19,777.73,34,92.52,34.09,91.1,33.61,35.05
7,Nov,2024,16:36:26,34.02,83.61,778.17,33.79,82.56,777.74,34.21,92.6,34.3,91.17,33.83,35.31
7,Nov,2024,16:36:36,34.26,84.24,778.15,34.04,83.09,777.79,34.45,92.73,34.57,91.31,33.99,35.43
7,Nov,2024,16:36:46,34.51,84.14,778.18,34.28,83.32,777.79,34.7,92.83,34.82,91.36,34.23,35.77
7,Nov,2024,16:36:56,34.75,84.7,778.14,34.53,83.89,777.81,34.96,92.87,35.08,91.36,34.39,35.97
7,Nov,2024,16:37:06,35.01,85.06,778.18,34.79,84.15,777.82,35.21,92.91,35.36,91.36,34.63,36.25
7,Nov,2024,16:37:16,35.3,85.31,778.1,35.07,84.36,777.81,35.48,92.92,35.64,91.38,34.87,36.55
7,Nov,2024,16:37:26,35.54,85.49,778.13,35.33,84.34,777.79,35.72,92.85,35.89,91.35,35.09,36.69
7,Nov,2024,16:37:36,35.82,85.6,778.12,35.61,84.57,777.8,36.02,92.89,36.16,91.32,35.35,37.01
7,Nov,2024,16:37:46,36.1,86.06,778.12,35.88,84.6,777.79,36.27,92.84,36.46,91.27,35.59,37.27
7,Nov,2024,16:37:56,36.4,86.21,778.1,36.19,85.01,777.8,36.58,92.87,36.77,91.27,35.85,37.53
7,Nov,2024,16:38:06,36.67,86.34,778.12,36.46,85.16,777.83,36.84,92.76,37.04,91.17,36.11,37.71
7,Nov,2024,16:38:16,36.96,86.58,778.1,36.75,85.25,777.79,37.12,92.85,37.31,91.18,36.35,38.03
7,Nov,2024,16:38:26,37.26,86.67,778.13,37.07,85.41,777.78,37.43,92.77,37.65,91.08,36.63,38.33
7,Nov,2024,16:38:36,37.56,86.95,778.15,37.37,85.49,777.8,37.71,92.95,37.94,91.19,36.91,38.79
7,Nov,2024,16:38:46,37.91,86.93,778.17,37.7,85.44,777.77,38.1,92.87,38.3,91.16,37.23,39.01
7,Nov,2024,16:38:56,38.26,86.91,778.13,38.07,85.34,777.82,38.48,92.84,38.68,91.1,37.51,39.41
7,Nov,2024,16:39:06,38.59,87.11,778.18,38.4,85.54,777.82,38.81,92.64,39.03,90.92,37.81,39.67
7,Nov,2024,16:39:16,38.97,87.16,778.18,38.78,85.65,777.83,39.17,92.64,39.41,90.88,38.13,39.91
7,Nov,2024,16:39:26,39.28,87.16,778.19,39.12,85.53,777.83,39.49,92.52,39.74,90.72,38.45,40.27
7,Nov,2024,16:39:36,39.63,87.21,778.17,39.46,85.47,777.83,39.83,92.58,40.08,90.79,38.75,40.73
7,Nov,2024,16:39:46,40.03,87.29,778.15,39.85,85.48,777.84,40.24,92.56,40.47,90.74,39.05,41.01
7,Nov,2024,16:39:56,40.38,87.18,778.18,40.19,85.44,777.85,40.61,92.36,40.87,90.59,39.41,41.39
7,Nov,2024,16:40:06,40.73,87.25,778.22,40.55,85.33,777.89,40.94,92.42,41.24,90.61,39.75,41.77
7,Nov,2024,16:40:16,41.09,87.29,778.15,40.92,85.3,777.91,41.31,92.47,41.57,90.69,40.09,42.13
7,Nov,2024,16:40:26,41.45,87.28,778.15,41.31,85.3,777.9,41.65,92.33,41.95,90.53,40.43,42.45
7,Nov,2024,16:40:36,41.83,87.31,778.18,41.66,85.26,777.93,42.06,92.52,42.31,90.69,40.81,42.91
7,Nov,2024,16:40:46,42.21,87.35,778.16,42.07,85.14,777.94,42.41,92.46,42.73,90.65,41.15,43.13
7,Nov,2024,16:40:56,42.59,87.34,778.17,42.49,85.38,777.87,42.86,92.5,43.14,90.64,41.53,43.67
